[10/08/24, 7:49:50 PM] Nidhi: You suck
[25/08/24, 8:16:09 PM] Vihaan: m
[25/08/24, 8:16:11 PM] Vihaan: ?
[25/08/24, 9:13:24 PM] Nidhi: Nah nah
[25/08/24, 9:13:30 PM] Nidhi: We'll try in 2nd round
[25/08/24, 9:13:33 PM] Nidhi: And also
[25/08/24, 9:13:38 PM] Nidhi: This was mock allotment
[25/08/24, 9:13:44 PM] Nidhi: SO I didn't properly get st jhons
[29/08/24, 1:04:51 PM] Vihaan: IKIK
[29/08/24, 1:04:53 PM] Vihaan: See
[29/08/24, 1:04:57 PM] Vihaan: I got bombay in mock
[29/08/24, 1:05:09 PM] Vihaan: And didnt get it in actual for first 4 rounds
[29/08/24, 1:06:19 PM] Vihaan: But in the end
[30/08/24, 2:54:57 PM] Nidhi: I got
[30/08/24, 2:55:00 PM] Nidhi: In 1st round
[30/08/24, 2:55:13 PM] Nidhi: CORRECT
[30/08/24, 3:25:53 PM] Vihaan: YOOOOo
[30/08/24, 3:25:57 PM] Vihaan: U got college finally
[30/08/24, 3:25:58 PM] Vihaan: Gg
[30/08/24, 3:26:00 PM] Vihaan: Proud
[30/08/24, 3:26:03 PM] Vihaan: No drop
[30/08/24, 3:26:06 PM] Vihaan: What Arnav got
[01/09/24, 8:59:56 AM] Nidhi: YAHH
[01/09/24, 9:00:02 AM] Nidhi: But will try to
[01/09/24, 9:00:05 AM] Nidhi: Upgrade
[01/09/24, 9:00:08 AM] Nidhi: Ask him na
[01/09/24, 9:18:25 AM] Vihaan: Upgrade from st johns
[01/09/24, 9:18:26 AM] Vihaan: Wth
[01/09/24, 9:18:30 AM] Vihaan: Bro
[01/09/24, 9:18:32 AM] Vihaan: Is bgs
[01/09/24, 9:18:33 AM] Vihaan: Good
[01/09/24, 9:22:03 AM] Nidhi: Its expensive bro
[01/09/24, 9:22:08 AM] Nidhi: But also sm people ik
[01/09/24, 9:22:11 AM] Nidhi: Are going to nsr
[01/09/24, 9:22:13 AM] Nidhi: Msr*
[01/09/24, 9:22:15 AM] Nidhi: Yuck
[01/09/24, 9:22:17 AM] Nidhi: I don't like it
[01/09/24, 9:22:27 AM] Nidhi: But I think I'll mostly get msr 2nd round
[01/09/24, 9:22:31 AM] Nidhi: YESS
[01/09/24, 10:25:45 AM] Vihaan: Is it above St John's in your preference
[01/09/24, 10:25:57 AM] Vihaan: But u don't like it?
[01/09/24, 10:26:04 AM] Vihaan: Is it better than John's
[01/09/24, 10:26:08 AM] Vihaan: Sahana got
[01/09/24, 10:26:10 AM] Vihaan: 💀
[01/09/24, 1:19:58 PM] Nidhi: Yup
[01/09/24, 1:20:09 PM] Nidhi: Bgs
[01/09/24, 1:20:10 PM] Nidhi: Or
[01/09/24, 1:20:12 PM] Nidhi: St jhons
[01/09/24, 1:20:26 PM] Nidhi: It's cheaper tho
[01/09/24, 1:20:32 PM] Nidhi: 8 lks per yr is tm bro
[02/09/24, 8:05:04 PM] Nidhi: Chee
[02/09/24, 8:05:06 PM] Nidhi: Who's that
[02/09/24, 8:06:21 PM] Nidhi: Do we like nilay
[02/09/24, 8:21:43 PM] Vihaan: Ay
[02/09/24, 8:21:47 PM] Vihaan: We like nilay
[02/09/24, 8:21:53 PM] Vihaan: He's a cutie
[02/09/24, 8:21:59 PM] Vihaan: And a lil gay
[02/09/24, 8:22:01 PM] Vihaan: And haraami
[02/09/24, 10:26:16 PM] Nidhi: We love that
[02/09/24, 10:26:24 PM] Nidhi: Wdym
[02/09/24, 10:26:30 PM] Nidhi: Like druggy wise uh
[02/09/24, 10:27:33 PM] Nidhi: Is he from the north
[02/09/24, 10:27:37 PM] Nidhi: Or from banaglore
[06/09/24, 1:14:23 PM] Vihaan: Mumbai
[06/09/24, 1:14:27 PM] Vihaan: Yeeeee
[06/09/24, 1:14:31 PM] Vihaan: He has gurl
[06/09/24, 1:14:33 PM] Vihaan: 😳😳😳
[06/09/24, 1:22:20 PM] Nidhi: Oh
[06/09/24, 1:22:24 PM] Nidhi: Is he that dude
[06/09/24, 1:22:33 PM] Nidhi: That gave tm detail
[06/09/24, 1:22:39 PM] Nidhi: Abt the time he had sex
[09/09/24, 2:03:22 AM] Vihaan: Yeaa hahaha
[09/09/24, 2:03:26 AM] Vihaan: Except not seggs
[09/09/24, 2:03:33 AM] Vihaan: He's never come apparently
[09/09/24, 2:03:37 AM] Vihaan: Random info lmao
[09/09/24, 2:03:49 AM] Vihaan: Did u get ramiah
[09/09/24, 12:16:36 PM] Nidhi: Yes we know
[09/09/24, 12:16:41 PM] Nidhi: Nah 3nd round didn't start yet
[09/09/24, 12:16:42 PM] Nidhi: BRO
[09/09/24, 12:16:48 PM] Nidhi: TODAY I WENT FOT DOC VERIFICTAION
[09/09/24, 12:16:50 PM] Nidhi: AND
[09/09/24, 12:16:55 PM] Nidhi: JAY
[09/09/24, 12:17:00 PM] Nidhi: WAS RUGHT IN FRONT OF ME
[09/09/24, 12:17:03 PM] Nidhi: I spoke to him
[09/09/24, 12:17:06 PM] Nidhi: He's a cutie
[09/09/24, 2:14:00 PM] Vihaan: Oh lmfao
[09/09/24, 2:14:06 PM] Vihaan: IKR
[09/09/24, 2:14:09 PM] Vihaan: He's mad niceee
[09/09/24, 2:14:16 PM] Vihaan: Where is he goinggg
[09/09/24, 3:04:25 PM] Nidhi: Jnmc
[09/09/24, 3:04:28 PM] Nidhi: Belgaum app
[09/09/24, 3:04:35 PM] Nidhi: But he mught get smt else in round 2
[09/09/24, 3:04:36 PM] Nidhi: Idk
[09/09/24, 3:18:44 PM] Vihaan: Idk lol
[09/09/24, 3:18:47 PM] Vihaan: I deleted insta
[09/09/24, 3:18:51 PM] Vihaan: 🗿
[09/09/24, 3:19:11 PM] Nidhi: No I'm telling
[09/09/24, 3:19:12 PM] Nidhi: It's in
[09/09/24, 3:19:15 PM] Nidhi: Belgaum
[09/09/24, 3:19:18 PM] Nidhi: Ih damn
[09/09/24, 3:19:23 PM] Nidhi: Good job bro
[09/09/24, 3:19:26 PM] Nidhi: Tatti app
[09/09/24, 3:19:31 PM] Nidhi: Wait sre you like
[09/09/24, 3:19:35 PM] Nidhi: Properly studying now
[11/09/24, 10:41:53 AM] Vihaan: OH
[11/09/24, 10:41:56 AM] Vihaan: Heard of the place
[11/09/24, 10:42:01 AM] Vihaan: I agree
[11/09/24, 10:42:07 AM] Vihaan: I NEED TO BUT IM nOT
[11/09/24, 10:42:11 AM] Vihaan: Mid sense in 3 days
[11/09/24, 11:09:23 PM] Nidhi: Its in karnataka only
[11/09/24, 11:09:27 PM] Nidhi: WHAT
[11/09/24, 11:09:29 PM] Nidhi: Yuck
[11/09/24, 11:09:32 PM] Nidhi: ATB BRO
[11/09/24, 11:09:35 PM] Nidhi: You'll manage pakka dw
[11/09/24, 11:09:40 PM] Vihaan: Yuh
[11/09/24, 11:09:41 PM] Vihaan: I'm
[11/09/24, 11:09:43 PM] Vihaan: Screwed
[11/09/24, 11:09:49 PM] Vihaan: Properly
[11/09/24, 11:09:51 PM] Nidhi: For what
[11/09/24, 11:09:53 PM] Nidhi: Chem uh
[11/09/24, 11:09:55 PM] Vihaan: Also I'm shooting rn
[11/09/24, 11:09:59 PM] Nidhi: Kya
[11/09/24, 11:10:01 PM] Vihaan: Shitting
[11/09/24, 11:10:01 PM] Nidhi: Shooting
[11/09/24, 11:10:02 PM] Nidhi: Whag
[11/09/24, 11:10:05 PM] Nidhi: Aww
[11/09/24, 11:10:08 PM] Nidhi: I'm w you
[11/09/24, 11:10:10 PM] Nidhi: That's nice
[11/09/24, 11:10:13 PM] Vihaan: What
[11/09/24, 11:10:14 PM] Vihaan: OMG
[11/09/24, 11:10:14 PM] Nidhi: Why you shitting so
[11/09/24, 11:10:17 PM] Vihaan: R u also
[11/09/24, 11:10:18 PM] Nidhi: Late da
[11/09/24, 11:10:19 PM] Vihaan: Shitting
[11/09/24, 11:10:20 PM] Nidhi: Nah
[11/09/24, 11:10:22 PM] Nidhi: I'm gonna
[11/09/24, 11:10:24 PM] Vihaan: Oh
[11/09/24, 11:10:24 PM] Nidhi: Sleep
[11/09/24, 11:10:28 PM] Vihaan: Same
[11/09/24, 11:10:30 PM] Vihaan: Today
[11/09/24, 11:10:32 PM] Vihaan: Early sleep
[11/09/24, 11:10:34 PM] Nidhi: Who shits
[11/09/24, 11:10:35 PM] Nidhi: At
[11/09/24, 11:10:39 PM] Nidhi: Nught
[11/09/24, 11:10:41 PM] Vihaan: My sleep schedule is gone
[11/09/24, 11:10:46 PM] Vihaan: Bro
[11/09/24, 11:10:47 PM] Vihaan: Tiger
[11/09/24, 11:10:48 PM] Nidhi: Yah why tf were you uo
[11/09/24, 11:10:49 PM] Vihaan: Today
[11/09/24, 11:10:50 PM] Nidhi: At 2
[11/09/24, 11:10:51 PM] Vihaan: Wait
[11/09/24, 11:10:52 PM] Nidhi: BRO I WENT TO
[11/09/24, 11:10:56 PM] Nidhi: WONDERLAA TODAY
‎[11/09/24, 11:10:58 PM] Vihaan: ‎video omitted
[11/09/24, 11:11:00 PM] Nidhi: I wish you could see my
[11/09/24, 11:11:02 PM] Nidhi: Storues
[11/09/24, 11:11:03 PM] Vihaan: Yoooooooo
[11/09/24, 11:11:07 PM] Nidhi: Kya
[11/09/24, 11:11:08 PM] Vihaan: Send here
[11/09/24, 11:11:18 PM] Nidhi: Bro its vid
[11/09/24, 11:11:21 PM] Nidhi: Wait
[11/09/24, 11:11:24 PM] Vihaan: Today i ate to much
[11/09/24, 11:11:27 PM] Vihaan: .
‎[11/09/24, 11:11:31 PM] Nidhi: ‎video omitted
[11/09/24, 11:11:42 PM] Vihaan: 8mb uhhhhh
[11/09/24, 11:11:47 PM] Vihaan: I'll download on wifi
[11/09/24, 11:11:52 PM] Vihaan: In morning
[11/09/24, 11:11:57 PM] Nidhi: ONG
[11/09/24, 11:11:58 PM] Nidhi: OMG
[11/09/24, 11:11:59 PM] Nidhi: ONAM
[11/09/24, 11:12:01 PM] Nidhi: SADHYA
[11/09/24, 11:12:02 PM] Vihaan: Ganesh
[11/09/24, 11:12:07 PM] Nidhi: Kya
[11/09/24, 11:12:09 PM] Vihaan: Chatirthi
[11/09/24, 11:12:09 PM] Nidhi: Wtf
[11/09/24, 11:12:09 PM] Nidhi: Oh
[11/09/24, 11:12:11 PM] Nidhi: Ok
[11/09/24, 11:12:13 PM] Nidhi: Nvm
[11/09/24, 11:12:15 PM] Vihaan: It's a big thing here
[11/09/24, 11:12:18 PM] Vihaan: Apparently
[11/09/24, 11:12:20 PM] Nidhi: Onam is also coming
[11/09/24, 11:12:23 PM] Nidhi: It looked like
[11/09/24, 11:12:24 PM] Nidhi: That
[11/09/24, 11:12:26 PM] Vihaan: But yea fun shit
[11/09/24, 11:12:27 PM] Nidhi: Yes ofc
[11/09/24, 11:12:29 PM] Nidhi: Its
[11/09/24, 11:12:30 PM] Nidhi: Mumbai
[11/09/24, 11:12:46 PM] Vihaan: Like ain't no way the mess people put sm effort
[24/09/24, 3:11:45 PM] Vihaan: Bro
[24/09/24, 3:11:51 PM] Vihaan: Why is
[24/09/24, 3:12:31 PM] Vihaan: Arnav ghosting the shit out of me
[24/09/24, 3:39:07 PM] Nidhi: Same
[24/09/24, 3:39:08 PM] Nidhi: Dw
[24/09/24, 3:39:17 PM] Nidhi: I hope he's ok
[24/09/24, 3:43:33 PM] Vihaan: Wtf
[24/09/24, 3:43:40 PM] Vihaan: He hasn't spoken to u also uh
[24/09/24, 3:43:47 PM] Nidhi: Since
[24/09/24, 3:43:50 PM] Vihaan: Shit I'll call him today
[24/09/24, 3:43:52 PM] Nidhi: 2nd round allotment
[24/09/24, 3:43:53 PM] Nidhi: No
[24/09/24, 3:43:55 PM] Nidhi: And
[24/09/24, 3:44:30 PM] Vihaan: Make sure he's good
[24/09/24, 3:44:33 PM] Vihaan: 😭
[24/09/24, 3:44:44 PM] Nidhi: Did he pick
[24/09/24, 3:44:45 PM] Nidhi: Up
[24/09/24, 3:44:49 PM] Nidhi: Is he good
[24/09/24, 3:44:57 PM] Vihaan: I'll call later
[24/09/24, 3:45:02 PM] Vihaan: I'm in restaurant rn
[24/09/24, 3:45:12 PM] Nidhi: I j
[24/09/24, 3:45:18 PM] Nidhi: Reported to my college bro
[24/09/24, 3:45:27 PM] Nidhi: It was a such a long process god
[24/09/24, 3:45:32 PM] Nidhi: But the college is pretty
[24/09/24, 3:45:35 PM] Nidhi: Hostels suck ass
[24/09/24, 6:05:00 PM] Vihaan: Bro bro
[24/09/24, 6:05:02 PM] Nidhi: Mf
[24/09/24, 6:05:06 PM] Vihaan: Lil bit
[24/09/24, 6:05:09 PM] Vihaan: I've to go somewhere
[24/09/24, 6:05:17 PM] Vihaan: We'll talk later?
[24/09/24, 6:05:23 PM] Vihaan: Sorry
[24/09/24, 6:05:25 PM] Nidhi: Call when you're free
[24/09/24, 6:05:27 PM] Vihaan: 😭😭
[24/09/24, 6:05:33 PM] Nidhi: 👎👎👎👎
[27/09/24, 10:11:54 PM] Nidhi: Mf didn't call
[27/09/24, 10:12:00 PM] Nidhi: You suck
[28/09/24, 2:30:55 AM] Vihaan: Ay
[28/09/24, 2:30:57 AM] Vihaan: SORRY
[28/09/24, 2:31:00 AM] Vihaan: So busy bruh
[28/09/24, 2:31:03 AM] Vihaan: R u awake
[28/09/24, 2:31:15 AM] Vihaan: Or then how about we call tomorrow morning sonetime
[28/09/24, 7:13:38 PM] Nidhi: Hello
[28/09/24, 7:13:42 PM] Nidhi: No
[28/09/24, 7:13:47 PM] Nidhi: I was not awake
[28/09/24, 7:13:50 PM] Nidhi: At 2:30
[28/09/24, 7:13:55 PM] Nidhi: ARE YOU
[28/09/24, 7:13:56 PM] Nidhi: FREE
[28/09/24, 7:13:57 PM] Nidhi: NOW
[28/09/24, 9:02:09 PM] Vihaan: Wait no
[28/09/24, 9:02:12 PM] Vihaan: Not at all
[28/09/24, 9:02:14 PM] Vihaan: Let's try
[28/09/24, 9:02:16 PM] Vihaan: Tomorrow
[28/09/24, 9:02:22 PM] Vihaan: 😭😭😭
[30/09/24, 10:46:43 AM] Nidhi: Bro
[30/09/24, 10:46:47 AM] Nidhi: Liar
[30/09/24, 10:46:58 AM] Nidhi: Ok it's fine j call whenever you're free next
[30/09/24, 10:51:55 AM] Vihaan: Yessir i willl
[30/09/24, 10:52:05 AM] Vihaan: Lil 2 3 days I'm sooobusy  bruh
[02/10/24, 4:45:50 PM] Nidhi: If you're free aaj
[02/10/24, 4:45:53 PM] Nidhi: Call off
[02/10/24, 4:51:11 PM] Vihaan: I'm vv busy aaj
[02/10/24, 4:51:16 PM] Vihaan: Freshie night
[02/10/24, 4:51:18 PM] Vihaan: 😭
[02/10/24, 5:40:14 PM] Nidhi: OHHH
[02/10/24, 5:40:16 PM] Nidhi: Right
[02/10/24, 5:40:19 PM] Nidhi: Yeah its chill
[02/10/24, 5:40:27 PM] Nidhi: Just call b4 my college starts
[02/10/24, 5:40:30 PM] Nidhi: 14th
[02/10/24, 5:40:35 PM] Nidhi: Oct
[03/10/24, 8:38:40 PM] Vihaan: I'll call you later.
[03/10/24, 8:38:48 PM] Nidhi: Bro
[03/10/24, 8:38:50 PM] Nidhi: I'm w
[03/10/24, 8:38:52 PM] Nidhi: Arnav
[03/10/24, 8:39:02 PM] Nidhi: Call speed
[03/10/24, 9:12:29 PM] Vihaan: Bro
[03/10/24, 9:12:30 PM] Vihaan: I have
[03/10/24, 9:12:37 PM] Vihaan: An inter
[03/10/24, 9:12:39 PM] Vihaan: View
[03/10/24, 9:12:44 PM] Vihaan: No speed possible
[03/10/24, 11:05:23 PM] Nidhi: Oh damn what
[03/10/24, 11:05:28 PM] Nidhi: For what
[03/10/24, 11:05:40 PM] Nidhi: 👎👎👎
[04/10/24, 11:13:28 AM] Vihaan: Ay
[04/10/24, 11:13:33 AM] Vihaan: Today I'm comparatively freer
[04/10/24, 11:13:45 AM] Vihaan: Tech teams interview
[04/10/24, 11:13:50 AM] Nidhi: Omg
[04/10/24, 11:13:52 AM] Nidhi: Can I call
[04/10/24, 11:13:53 AM] Vihaan: For autonomous underwater vehicle
[04/10/24, 11:13:54 AM] Nidhi: In
[04/10/24, 11:13:58 AM] Nidhi: Half an
[04/10/24, 11:14:00 AM] Nidhi: Hr
[04/10/24, 11:14:03 AM] Vihaan: Hmmm
[04/10/24, 11:14:05 AM] Vihaan: Okay
[04/10/24, 11:14:10 AM] Nidhi: woah
[04/10/24, 11:14:10 AM] Vihaan: For like 10 15 mins
[04/10/24, 11:14:11 AM] Nidhi: I got
[04/10/24, 11:14:11 AM] Vihaan: Coa
[04/10/24, 11:14:13 AM] Vihaan: Cos
[04/10/24, 11:14:13 AM] Nidhi: A slot
[04/10/24, 11:14:14 AM] Vihaan: I jave
[04/10/24, 11:14:15 AM] Vihaan: Test
[04/10/24, 11:14:17 AM] Vihaan: Today
[04/10/24, 11:14:19 AM] Nidhi: Ok yes
[04/10/24, 11:14:20 AM] Vihaan: At 6
[04/10/24, 11:14:23 AM] Vihaan: Ay bro
[04/10/24, 11:14:24 AM] Vihaan: No da
[04/10/24, 11:14:25 AM] Nidhi: Wait I need to go to
[04/10/24, 11:14:27 AM] Vihaan: Ntn like that
[04/10/24, 11:14:27 AM] Nidhi: Tailor
[04/10/24, 11:14:30 AM] Vihaan: Okok
[04/10/24, 11:14:31 AM] Nidhi: And come back
[04/10/24, 11:14:34 AM] Vihaan: Gg
[04/10/24, 11:14:40 AM] Vihaan: Learn how to stitch tho ur a girl
[04/10/24, 11:14:43 AM] Vihaan: IM JOKING
[04/10/24, 11:31:12 AM] Nidhi: You learn
[04/10/24, 11:31:15 AM] Nidhi: How to build a house
[04/10/24, 11:31:24 AM] Nidhi: Or lift more than 5kgs
[04/10/24, 11:31:30 AM] Nidhi: Ok I'm calling🥰
‎[04/10/24, 12:23:46 PM] Vihaan: ‎video omitted
[04/10/24, 1:00:23 PM] Vihaan: Sse this
[04/10/24, 3:28:22 PM] Nidhi: OMG
[04/10/24, 3:28:31 PM] Nidhi: NOT BAD BRO NOT BAD AT ALL
[04/10/24, 3:28:38 PM] Nidhi: That was actually p good
[04/10/24, 3:28:45 PM] Nidhi: Was the trumpet sounding thing
[04/10/24, 3:28:49 PM] Nidhi: You??
[04/10/24, 4:15:14 PM] Vihaan: Yes
[04/10/24, 4:15:20 PM] Vihaan: Did u see the whole
[04/10/24, 4:27:01 PM] Nidhi: Ofc
[26/10/24, 10:15:05 PM] Nidhi: Bro
[26/10/24, 10:15:05 PM] Nidhi: Will you be here
[26/10/24, 10:15:06 PM] Nidhi: On Thursday
[26/10/24, 11:11:59 PM] Vihaan: Yes
[26/10/24, 11:12:13 PM] Nidhi: What time
[26/10/24, 11:12:20 PM] Vihaan: I'll come on wed night
[26/10/24, 11:12:21 PM] Nidhi: I'm only here on Thursday
[26/10/24, 11:12:27 PM] Vihaan: Like 1 30 am I'll be
[26/10/24, 11:12:30 PM] Vihaan: At home
[26/10/24, 11:12:36 PM] Nidhi: Ok come Thursday then
[26/10/24, 11:12:45 PM] Nidhi: Also
[26/10/24, 11:12:51 PM] Nidhi: Wait nvm
[26/10/24, 11:13:05 PM] Vihaan: Tell da
[26/10/24, 11:13:17 PM] Vihaan: Ay
[26/10/24, 11:13:20 PM] Vihaan: Why did u go offline
[26/10/24, 11:13:39 PM] Nidhi: Ntn da
[26/10/24, 11:13:47 PM] Nidhi: Come Thursday ty
[26/10/24, 11:13:48 PM] Vihaan: When
[26/10/24, 11:13:50 PM] Vihaan: R u going
[26/10/24, 11:13:56 PM] Nidhi: Come like
[26/10/24, 11:13:58 PM] Vihaan: And where
[26/10/24, 11:14:05 PM] Nidhi: Morning ish
[26/10/24, 11:14:13 PM] Nidhi: 11-12
[26/10/24, 11:14:14 PM] Vihaan: Bro but night diwali
[26/10/24, 11:14:18 PM] Vihaan: We gotta recreate last yrs
[26/10/24, 11:14:21 PM] Vihaan: It was so fun
[26/10/24, 11:14:23 PM] Nidhi: Real
[26/10/24, 11:14:25 PM] Nidhi: Omg
[26/10/24, 11:14:29 PM] Nidhi: But idk if I'll be here
[26/10/24, 11:14:34 PM] Vihaan: Where etf
[26/10/24, 11:14:39 PM] Vihaan: R u going
[26/10/24, 11:14:41 PM] Nidhi: Some homestay
[26/10/24, 11:14:44 PM] Nidhi: W family
[26/10/24, 11:14:48 PM] Vihaan: Bro stay at home da
[26/10/24, 11:14:49 PM] Vihaan: W family
[26/10/24, 11:14:56 PM] Nidhi: They don't want to da
[26/10/24, 11:14:58 PM] Nidhi: What to do
[26/10/24, 11:14:59 PM] Vihaan: Homestay my ass
[26/10/24, 11:15:03 PM] Nidhi: Also my sister needs
[26/10/24, 11:15:05 PM] Nidhi: A break
[26/10/24, 11:15:09 PM] Vihaan: Fairrrr
[26/10/24, 11:15:11 PM] Vihaan: But like
[26/10/24, 11:15:22 PM] Vihaan: L
[26/10/24, 11:15:22 PM] Nidhi: Dyk
[26/10/24, 11:15:25 PM] Vihaan: Yes
[26/10/24, 11:15:26 PM] Nidhi: Where Arnav is
[26/10/24, 11:15:29 PM] Nidhi: Ok
[26/10/24, 11:15:32 PM] Vihaan: At home
[26/10/24, 11:15:35 PM] Vihaan: Where else
[26/10/24, 11:15:36 PM] Vihaan: OH
[26/10/24, 11:15:37 PM] Vihaan: Wait
[26/10/24, 11:15:39 PM] Vihaan: My mom said
[26/10/24, 11:15:39 PM] Nidhi: Oh yeah
[26/10/24, 11:15:40 PM] Nidhi: Yes
[26/10/24, 11:15:41 PM] Vihaan: He needs to
[26/10/24, 11:15:42 PM] Vihaan: Say
[26/10/24, 11:15:44 PM] Vihaan: Smn
[26/10/24, 11:15:45 PM] Vihaan: To me
[26/10/24, 11:15:49 PM] Vihaan: So she didn't tell me
[26/10/24, 11:15:51 PM] Vihaan: Bro wtf
[26/10/24, 11:15:52 PM] Nidhi: Oh
[26/10/24, 11:15:54 PM] Nidhi: Correct
[26/10/24, 11:15:55 PM] Vihaan: Why sm suspense
[26/10/24, 11:16:00 PM] Vihaan: What's he upto
[26/10/24, 11:16:01 PM] Nidhi: Ask him
[26/10/24, 11:16:06 PM] Vihaan: Did he go to saharanpur
[26/10/24, 11:16:14 PM] Nidhi: What was this yes for
[26/10/24, 11:16:16 PM] Nidhi: What dyk
[26/10/24, 11:16:20 PM] Vihaan: No lkke
[26/10/24, 11:16:22 PM] Nidhi: Mabye
[26/10/24, 11:16:25 PM] Vihaan: Dyk...?
[26/10/24, 11:16:27 PM] Vihaan: Bro
[26/10/24, 11:16:29 PM] Vihaan: Not helpful
[26/10/24, 11:16:32 PM] Vihaan: Ay I'm so
[26/10/24, 11:16:36 PM] Nidhi: Ask him da
[26/10/24, 11:16:36 PM] Vihaan: Excited to meet y'all da
[26/10/24, 11:16:38 PM] Nidhi: Call him
[26/10/24, 11:16:40 PM] Vihaan: Like i really wanna go him
[26/10/24, 11:16:44 PM] Vihaan: Home
[26/10/24, 11:16:46 PM] Vihaan: For a bit
[26/10/24, 11:16:50 PM] Nidhi: Same bro
[26/10/24, 11:16:54 PM] Nidhi: I got to meet ayati
[26/10/24, 11:16:56 PM] Nidhi: For like
[26/10/24, 11:16:58 PM] Nidhi: 5 mins
[26/10/24, 11:17:01 PM] Vihaan: Ew
[26/10/24, 11:17:01 PM] Nidhi: Last week
[26/10/24, 11:17:02 PM] Nidhi: It was
[26/10/24, 11:17:03 PM] Nidhi: So
[26/10/24, 11:17:04 PM] Nidhi: So
[26/10/24, 11:17:05 PM] Nidhi: So swd
[26/10/24, 11:17:08 PM] Nidhi: Hurt sm
[26/10/24, 11:17:10 PM] Nidhi: Cuz she came
[26/10/24, 11:17:12 PM] Nidhi: And then
